gene,pvalue,log2fc,fold_change,adj_pvalue,significant
CFH,0.24466004860426077,0.47385319111792107,1.3888138026556822,0.24466004860426077,False
ARMS2,0.02054930405542705,1.1297070238786957,2.1881429990071237,0.02054930405542705,True
HTRA1,0.00818808017736213,1.327127372263511,2.5090259154545773,0.00818808017736213,True
VEGFA,0.020215333167730876,1.2225540543066256,2.3335947639987924,0.020215333167730876,True
C3,0.001322336307077674,1.4062474895273103,2.65046867416319,0.001322336307077674,True
APOE,0.02838231257719864,1.4613004322724565,2.7535645561795428,0.02838231257719864,True
SOD1,0.00976277981746344,1.615741532634486,3.064690813709544,0.00976277981746344,True
IL6,0.5272467555952945,0.34949762476193597,1.2741168771091316,0.5272467555952945,False
TNF,0.012702707663748331,2.295957668174346,4.910798639981072,0.012702707663748331,True
MMP9,0.0002376635117410395,1.7068410157490823,3.264452423804429,0.0002376635117410395,True
GENE_000010,0.9045628225020278,0.07687124267665202,1.054728180723344,0.9045628225020278,False
GENE_000011,0.21534134443295413,0.40946436936959296,1.3281926033329885,0.21534134443295413,False
GENE_000012,0.6319423008382046,-0.2546011410878749,0.8382188432652782,0.6319423008382046,False
GENE_000013,0.7015165337684471,0.13649138685258283,1.0992285548187046,0.7015165337684471,False
GENE_000014,0.2607111531612091,-0.8134730285213,0.5690104177312755,0.2607111531612091,False
GENE_000015,0.4738960383774171,0.23746283555577175,1.1789175594186931,0.4738960383774171,False
GENE_000016,0.6084874174321728,0.18207720502799324,1.134516196318873,0.6084874174321728,False
GENE_000017,0.9970305289853225,-0.0020699551972074865,0.9985662452010736,0.9970305289853225,False
GENE_000018,0.9899919264122389,0.005554584103035695,1.0038575656371436,0.9899919264122389,False
GENE_000019,0.12606258319023309,0.9304958908550247,1.905931000307043,0.12606258319023309,False
GENE_000020,0.699271235812051,-0.1506839461959117,0.9008233032185556,0.699271235812051,False
GENE_000021,0.7401589694448609,-0.12159617296133485,0.9191701338319719,0.7401589694448609,False
GENE_000022,0.6846195862289992,0.1513513812948022,1.110609299529173,0.6846195862289992,False
GENE_000023,0.770013664797834,0.11751356697513624,1.084863527121418,0.770013664797834,False
GENE_000024,0.5182106038891147,0.3237375008503565,1.2515687143252496,0.5182106038891147,False
GENE_000025,0.7519479703829023,-0.14828651646166185,0.902321510349613,0.7519479703829023,False
GENE_000026,0.1718221064902423,0.43017355819265446,1.347395660662515,0.1718221064902423,False
GENE_000027,0.8151028397166218,0.07484992513691993,1.0532514668589157,0.8151028397166218,False
GENE_000028,0.1896515577925848,0.4982758145895349,1.4125244251406797,0.1896515577925848,False
GENE_000029,0.2633838080180363,0.44471236302640643,1.3610427318824465,0.2633838080180363,False
GENE_000030,0.5773114340139417,0.2673846929555833,1.2036239281347874,0.5773114340139417,False
GENE_000031,0.18495977414467998,0.624111558004334,1.541261391866521,0.18495977414467998,False
